"/bat_state/current_x","/bat_state/current_y","/bat_state/voltage_x","/bat_state/voltage_y"
-101925.7877,-0.2199999988,-101903.2074,22.92499924,
-101925.609,-0.2300000042,-101903.0478,22.87800026,
-101925.609,-0.2300000042,-101902.8677,22.93000031,
-101925.4464,-0.2199999988,-101902.7468,22.88800049,
-101925.4464,-0.2199999988,-101897.6879,22.92499924,
-101925.2676,-0.2199999988,-101892.6267,22.93000031,
-101925.2676,-0.2199999988,-101887.5672,22.93000031,
-101925.0873,-0.2199999988, , ,
-101925.0873,-0.2199999988, , ,
-101924.9277,-0.25, , ,
-101924.9277,-0.25, , ,
-101924.7485,-0.2300000042, , ,
-101924.7485,-0.2300000042, , ,
-101924.5863,-0.25, , ,
-101924.5863,-0.25, , ,
-101924.4076,-0.2399999946, , ,
-101924.4076,-0.2399999946, , ,
-101924.2283,-0.2300000042, , ,
-101924.2283,-0.2300000042, , ,
-101924.0685,-0.2399999946, , ,
-101924.0685,-0.2399999946, , ,
-101923.8884,-0.25, , ,
-101923.8884,-0.25, , ,
-101923.7078,-0.2199999988, , ,
-101923.7078,-0.2199999988, , ,
-101923.5485,-0.2199999988, , ,
-101923.5485,-0.2199999988, , ,
-101923.3678,-0.2300000042, , ,
-101923.3678,-0.2300000042, , ,
-101923.2086,-0.2199999988, , ,
-101923.2086,-0.2199999988, , ,
-101923.0282,-0.2300000042, , ,
-101923.0282,-0.2300000042, , ,
-101922.846,-0.2399999946, , ,
-101922.846,-0.2399999946, , ,
-101922.6883,-0.2399999946, , ,
-101922.6883,-0.2399999946, , ,
-101922.5081,-0.2399999946, , ,
-101922.5081,-0.2399999946, , ,
-101922.3276,-0.2399999946, , ,
-101922.3276,-0.2399999946, , ,
-101922.1684,-0.2300000042, , ,
-101922.1684,-0.2300000042, , ,
-101921.9877,-0.2199999988, , ,
-101921.9877,-0.2199999988, , ,
-101921.8282,-0.2199999988, , ,
-101921.8282,-0.2199999988, , ,
-101921.6485,-0.25, , ,
-101921.6485,-0.25, , ,
-101921.4683,-0.2199999988, , ,
-101921.4683,-0.2199999988, , ,
-101921.3056,-0.2300000042, , ,
-101921.3056,-0.2300000042, , ,
-101921.1286,-0.2300000042, , ,
-101921.1286,-0.2300000042, , ,
-101920.9691,-0.2199999988, , ,
-101920.9691,-0.2199999988, , ,
-101920.7876,-0.2199999988, , ,
-101920.7876,-0.2199999988, , ,
-101920.6086,-0.2300000042, , ,
-101920.6086,-0.2300000042, , ,
-101920.4477,-0.2300000042, , ,
-101920.4477,-0.2300000042, , ,
-101920.2676,-0.2399999946, , ,
-101920.2676,-0.2399999946, , ,
-101920.0875,-0.2199999988, , ,
-101920.0875,-0.2199999988, , ,
-101919.9277,-0.25, , ,
-101919.9277,-0.25, , ,
-101919.7476,-0.2300000042, , ,
-101919.7476,-0.2300000042, , ,
-101919.588,-0.2399999946, , ,
-101919.588,-0.2399999946, , ,
-101919.4077,-0.2300000042, , ,
-101919.4077,-0.2300000042, , ,
-101919.2275,-0.2399999946, , ,
-101919.2275,-0.2399999946, , ,
-101919.0662,-0.2199999988, , ,
-101919.0662,-0.2199999988, , ,
-101918.8876,-0.2399999946, , ,
-101918.8876,-0.2399999946, , ,
-101918.7284,-0.2399999946, , ,
-101918.7284,-0.2399999946, , ,
-101918.548,-0.2300000042, , ,
-101918.548,-0.2300000042, , ,
-101918.3678,-0.2199999988, , ,
-101918.3678,-0.2199999988, , ,
-101918.2082,-0.2300000042, , ,
-101918.2082,-0.2300000042, , ,
-101918.028,-0.25, , ,
-101918.028,-0.25, , ,
-101917.8669,-0.2300000042, , ,
-101917.8669,-0.2300000042, , ,
-101917.688,-0.2199999988, , ,
-101917.688,-0.2199999988, , ,
-101917.5077,-0.2300000042, , ,
-101917.5077,-0.2300000042, , ,
-101917.3484,-0.2399999946, , ,
-101917.3484,-0.2399999946, , ,
-101917.1678,-0.2199999988, , ,
-101917.1678,-0.2199999988, , ,
-101916.9883,-0.2399999946, , ,
-101916.9883,-0.2399999946, , ,
-101916.8272,-0.2399999946, , ,
-101916.8272,-0.2399999946, , ,
-101916.6487,-0.2399999946, , ,
-101916.6487,-0.2399999946, , ,
-101916.4877,-0.2199999988, , ,
-101916.4877,-0.2199999988, , ,
-101916.3078,-0.2199999988, , ,
-101916.3078,-0.2199999988, , ,
-101916.1289,-0.2300000042, , ,
